DI,Craftsmanship,EraConstructed
1858,5,1295
1859,8,1627
1860,9,1446
1861,6,1501
1862,6,1006
1863,5,1170
1864,6,1054
1865,8,1514
1866,6,1501
1867,6,1722
1868,5,1365
1869,8,1749
1870,6,1402
1871,8,1720
1872,7,1775
1872,7,1775
1873,8,1725
1874,6,1374
1875,5,1389
1876,5,1385
1877,6,1348
1878,5,1032
1879,7,1470
1880,8,1769
1881,8,1781
1882,6,1396
1883,5,1272
1884,5,1560
1885,6,1334
1886,6,1608
1887,5,1238
1888,5,1247
1889,5,1072
1890,6,1443
1891,10,1731
1892,5,1037
1893,6,1780
1894,4,1009
1895,8,1707
1896,7,1462
1897,5,1375
1898,7,1478
1899,7,1556
1900,4,1147
1901,7,1520
1902,5,1357
1903,5,1351
1904,5,1291
1905,7,1170
1906,5,1239
1907,6,1468
1908,7,1569
1909,8,1602
1910,8,1542
1911,6,1153
1912,6,1572
1913,6,1207
1914,7,1567
1915,6,1588
1916,6,1311
1917,8,1162
1918,6,1572
1919,6,1095
1920,8,1727
1921,6,1747
1922,5,1082
1923,7,1077
1924,6,1365
1925,6,1231
1926,5,1074
1926,5,1074
1927,6,1311
1928,5,1355
1929,8,1666
1930,9,1775
1931,6,1068
1932,7,1749
1933,5,1034
1934,8,1722
1935,7,1152
1936,8,1408
1937,5,1124
1938,5,1055
1939,6,1024
1940,7,1774
1941,6,1060
1942,8,1414
1943,9,1606
1944,5,1042
1945,7,1344
1946,5,1396
1947,8,1574
1948,7,1656
1949,8,1699
1950,8,931
1951,7,1403
1952,5,1394
1953,8,1675
1954,6,1744
1955,7,1676
1956,6,1739
1957,6,1188
1958,7,1504
1959,8,1192
1960,6,1675
1961,6,1442
1962,6,1468
1963,8,1420
1964,8,1641
1965,5,1210
1966,6,1447
1967,6,1481
1968,5,1249
1969,9,1657
1970,8,1084
1971,7,1112
1972,4,1013
1973,5,1296
1974,5,1054
1975,5,1028
1976,6,1514
1977,7,1047
1978,8,919
1979,7,1745
1980,6,1157
1981,4,1046
1982,8,1562
1983,5,1108
1984,7,1575
1985,7,1603
1986,6,1271
1987,6,1691
1988,8,1542
1989,6,1369
1990,6,1471
1991,7,1766
1991,7,1766
1992,6,1410
1993,5,1239
1994,4,1312
1995,7,1419
1996,7,1762
1997,5,1168
1998,7,1468
1999,5,1140
1999,5,1140
2000,8,1705
2001,5,1000
2002,8,1561
2003,7,1757
2004,4,1358
2005,8,1798
2006,7,1332
2007,7,1643
2008,6,1187
2009,5,1008
2010,5,1173
2011,7,1132
2012,8,1666
2013,9,1774
2014,6,1640
2015,6,1367
2016,7,1165
2017,5,1377
2018,5,1539
2019,7,1670
2020,7,1567
2021,8,1746
2022,5,1356
2022,5,1356
2023,9,1797
2024,7,1690
2025,5,1399
2026,5,1215
2027,8,1543
2028,6,1729
2029,6,1507
2030,5,1318
2031,7,1602
2032,6,1533
2033,6,1286
2034,8,1571
2035,6,1523
2036,6,1686
2037,6,1319
2038,6,1585
2039,6,1077
2040,5,1604
2041,5,1317
2042,5,1046
2043,6,1440
2044,9,1679
2045,7,1632
2046,5,1276
2047,6,1177
2048,6,1039
2049,7,1710
2050,6,1162
2051,6,1722
2052,9,1744
2053,5,1229
2054,5,1446
2055,6,1019
2056,5,1291
2057,5,1357
2058,9,1760
2059,4,1099
2060,7,1777
2061,5,1230
2062,7,1007
2063,7,1685
2064,8,1626
2065,6,1194
2066,9,1589
2067,5,1345
2068,6,1317
2069,8,1677
2070,5,1304
2071,5,1191
2072,8,1415
2073,4,1035
2073,4,1035
2074,7,1173
2075,6,1673
2076,5,1576
2077,4,1287
2078,5,1171
2079,5,1022
2080,6,1501
2081,7,1008
2082,6,1481
2083,6,1562
2084,7,1559
2085,4,1116
2086,6,1587
2087,5,1478
2088,5,1044
2089,5,1221
2090,5,1242
2091,4,1221
2092,7,1067
2093,5,1496
2094,5,1208
2095,5,1754
2096,6,1456
2097,8,1795
2098,6,1576
2099,6,1327
2100,5,1306
2101,8,1529
2102,6,1356
2103,6,1634
2104,6,1382
2105,7,1681
2106,5,1345
2107,7,1464
2108,8,1631
2109,5,1016
2110,5,1366
2111,7,1537
2112,6,1242
2113,10,1743
2114,7,1736
2115,7,1781
2116,5,1189
2117,6,1353
2118,6,1107
2119,9,1778
2120,6,1285
2121,6,1624
2122,4,1068
2123,6,1346
2124,5,1174
2125,7,1646
2126,5,990
2127,5,1496
2128,8,1726
2129,6,1205
2130,6,1790
2131,6,1313
2132,4,1008
2133,6,1075
2134,5,1687
2135,8,1446
2136,9,1761
2137,10,1607
2138,5,1270
2139,6,1575
2140,8,1796
2141,6,1320
2142,6,1144
2143,5,1205
2144,8,1753
2145,8,1434
2146,10,895
2147,5,1151
2148,5,1473
2149,8,1661
2150,5,1329
2151,5,1354
2152,6,1141
2153,7,1784
2154,9,1609
2155,6,1584
2156,5,1381
2157,5,1586
2158,7,1762
2159,4,1179
2160,5,1453
2161,5,1092
2162,6,1060
2163,6,1212
2164,6,1557
2165,4,1122
2166,6,1771
2167,4,1197
2168,4,1058
2169,6,1012
2170,9,1787
2171,6,1246
2172,5,1302
2173,7,1571
2174,6,1277
2175,4,1192
2176,5,1266
2177,7,1767
2178,6,1528
2179,6,1271
2180,5,1035
2181,4,1202
2182,5,1383
2183,7,1548
2184,9,1750
2185,5,1271
2186,6,1509
2187,7,1681
2188,7,1480
2189,8,1672
2190,6,1151
2191,4,1233
2192,7,1741
2192,7,1741
2193,5,1324
2194,6,1525
2195,5,1397
2196,8,1458
2197,5,1419
2198,4,1236
2199,8,1740
2200,5,1109
2201,6,1615
2202,6,1467
2203,4,1297
2204,6,1352
2205,5,950
2206,7,1718
2207,7,1666
2208,2,1103
2209,6,1229
2210,8,1789
2211,8,1532
2212,5,1387
2213,6,1473
2214,5,1253
2215,6,1520
2216,4,1189
2217,7,1706
2218,5,1273
2219,9,1757
2220,8,1735
2221,3,1069
2222,6,1190
2223,7,1630
2224,5,1430
2225,7,1465
2226,6,1427
2227,5,1476
2228,7,1720
2229,5,1045
2230,5,1370
2231,6,1354
2232,5,1361
2233,5,1304
2234,5,1308
2235,4,1307
2236,9,1621
2237,8,1457
2238,5,1077
2239,10,1483
2240,5,1505
2241,5,1376
2242,6,1142
2243,6,1346
2244,7,1715
2245,3,1103
2246,4,1214
2247,6,1434
2248,7,1578
2249,6,1670
2250,4,1135
2251,1,1077
2252,4,1121
2253,7,1070
2254,6,1316
2255,5,1441
2255,5,1441
2256,5,1306
2257,8,1774
2258,7,1640
2259,5,1425
2260,7,1433
2261,6,1011
2262,7,1469
2263,5,1247
2264,7,1506
2265,7,1546
2266,7,1745
2267,7,1566
2268,6,1598
2269,7,1481
2270,7,1633
2271,6,1408
2272,4,1189
2273,5,1048
2274,6,1624
2275,6,1748
2276,7,1613
2277,5,1518
2278,5,1419
2279,6,1597
2280,6,1665
2281,6,1610
2282,6,1228
2283,6,1051
2284,5,1327
2285,7,1562
2286,9,1689
2287,6,1073
2288,5,1397
2289,6,1094
2290,6,1160
2291,5,1109
2292,8,1707
2293,6,1001
2294,5,1161
2295,5,1160
2296,6,1458
2297,5,1215
2298,6,1673
2299,7,1490
2300,5,1084
2301,4,1338
2302,6,1662
2303,3,1051
2304,8,1662
2305,7,1432
2306,7,1666
2307,7,1432
2308,6,1355
2309,6,1602
2310,5,1069
2311,6,1436
2312,7,1432
2313,4,1030
2314,8,1782
2315,5,1313
2316,7,1733
2317,6,1120
2318,5,1404
2319,8,1714
2320,9,1713
2321,7,1425
2322,7,1461
2323,6,1097
2324,8,1546
2325,5,1264
2326,5,1559
2327,7,1216
2328,5,1391
2329,7,1468
2330,9,1705
2331,7,1777
2332,7,1663
2333,6,1640
2334,6,1248
2335,6,1284
2336,4,1014
2337,9,1784
2338,5,1261
2339,5,1021
